id,extension_id:id,query_type,server,regex_registrar,regex_registrar_url,regex_domain_status,regex_nameservers,regex_creation_date,regex_updated_date,regex_expiry_date
domain_name_fi_whois,domain_name_fi,"whois","whois.fi","registrar\.{2,}:(.*?)\n","www\.{2,}:(.*?)\n","status\.{2,}:(.*?)\n","nserver\.{2,}:(.*?)\[","created\.{2,}:(.*?)\n","modified\.{2,}:(.*?)\n","available\.{2,}:(.*?)\n"
domain_name_fj_whois,domain_name_fj,"whois","whois.fj","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_fm_whois,domain_name_fm,"whois","whois.nic.fm","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_fo_whois,domain_name_fo,"whois","whois.nic.fo","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_fr_whois,domain_name_fr,"whois","whois.nic.fr","registrar:(.*?)\n","website:(.*?)\n","eppstatus:(.*?)\n","nserver:(.*?)\n","created:(.*?)\n","last-update:(.*?)\n","Expiry Date:(.*?)\n"
domain_name_ga_whois,domain_name_ga,"whois","whois.nic.ga","Registrar:(.*?)\n","","Statut:(.*?)\n","Serveur de noms:(.*?)\n","Date de création:(.*?)\n","Dernière modification:(.*?)\n","Date d'expiration:(.*?)\n"
domain_name_gd_whois,domain_name_gd,"whois","whois.nic.gd","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ge_whois,domain_name_ge,"whois","whois.nic.ge","Registrar:(.*?)\n","","Domain Status:(.*?)\n","Name Server:(.*?)\n","Creation Date:(.*?)\n","","Registry Expiry Date:(.*?)\n"
domain_name_gf_whois,domain_name_gf,"whois","whois.mediaserv.net","","","","nameserver:(.*?)\n","","changed:(.*?)nameserver",""
domain_name_gg_whois,domain_name_gg,"whois","whois.gg","Registrar:(.*?)Relevant dates","","Domain Status:(.*?)Registrant","Name servers:(.*?)WHOIS lookup made on","Registered on(.*?)\n","","Registry fee due on(.*?)\n"
domain_name_gh_whois,domain_name_gh,"whois","whois.nic.gh","Sponsoring Registrar:(.*?)\n","Sponsoring Registrar URL:(.*?)\n","Domain Status:(.*?)\n","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_gi_whois,domain_name_gi,"whois","whois.donuts.co","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_gl_whois,domain_name_gl,"whois","whois.nic.gl","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_gn_whois,domain_name_gn,"whois","whois.ande.gov.gn","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_gq_whois,domain_name_gq,"whois","whois.dominio.gq","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_gs_whois,domain_name_gs,"whois","whois.nic.gs","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_gy_whois,domain_name_gy,"whois","whois.registry.gy","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_hk_whois,domain_name_hk,"whois","whois.hkirc.hk","Registrar Name:(.*?)\n","","Domain Status:(.*?)\n","Name Servers Information:(.*?)Status Information","Domain Name Commencement Date:(.*?)\n","","Expiry Date:(.*?)\n"
domain_name_hn_whois,domain_name_hn,"whois","whois.nic.hn","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_hr_whois,domain_name_hr,"whois","whois.dns.hr","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registrar Registration Expiration Date:(.*?)\n"
domain_name_ht_whois,domain_name_ht,"whois","whois.nic.ht","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_hu_whois,domain_name_hu,"whois","whois.nic.hu","","","","","record created:(.*?)\n","",""
domain_name_id_whois,domain_name_id,"whois","whois.id","Sponsoring Registrar Organization:(.*?)\n","Sponsoring Registrar URL:(.*?)\n","Status:(.*?)\n","Name Server:(.*?)\n","Created On:(.*?)\n","Last Updated On:(.*?)\n","Expiration Date:(.*?)\n"
domain_name_ie_whois,domain_name_ie,"whois","whois.weare.ie","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_il_whois,domain_name_il,"whois","whois.isoc.org.il","registrar name:(.*?)\n","registrar info:(.*?)\n","status:(.*?)\n","nserver:(.*?)(?:\(|\n)","registrar\s+AT\s+\w+[(?:\.\w+)]{2,}(.*?)\(Assigned\)","","validity:(.*?)\n"
domain_name_im_whois,domain_name_im,"whois","whois.nic.im","","","","Name Server:(.*?)\n","","","Expiry Date:(.*?)\n"
domain_name_in_whois,domain_name_in,"whois","whois.registry.in","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)http","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_io_whois,domain_name_io,"whois","whois.nic.io","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
